,sentence,logprob.Copy+SS,logprob.NoCopy,length,check.prob.copy+ss,n.parses.copy+ss
138,bbf.bbd.bbf.bba.bbb,-24.071709,-22.563237,5,-24.071708551341203,90
139,afo.afn.afo.afn.afp,-19.076844,-25.629969,5,-19.076843895622247,94
140,afp.afq.afq.afs.afu.afu.afu.afq.afr.afq.afp.afo.afn.afo.afn.afo,-65.36528100000001,-73.18361999999999,16,0.0,0
141,bay.aur.auq.aur.bba.bbb.bbc.bba.bbb.bbc.bba.bba.bbb.bbc,-52.543468999999995,-55.923313,14,0.0,0
142,bbc.bbf.bbd.bbf.bbd.bbf.bbd.bbf.bbe.bbf.bbe.bay.baw.baw.bax.bay.baw,-69.176746,-78.962601,17,0.0,0
143,bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc.ava.ava.ava,-37.88751,-44.866238,12,0.0,0
144,acb.ban.acb.ban.aiz,-17.232241000000002,-25.393244,5,-17.232241163568343,94
145,aus.afp.aut.aut.bba.bbb.bbc.bba.bbb,-33.757946999999994,-33.168333000000004,9,-33.757947106575,47944
146,ait.ago.ait.ago.ait.aiz.aja.aiz.aiu.ago,-37.024004999999995,-42.486315999999995,10,-37.02400504933181,212534
147,aob,-3.886643,-5.023105999999999,1,-3.8866430516800006,1
148,ajc.aiu.ago.ait.ago.ait.ago.ago.ait.aiu.ago,-46.051241,-51.551111,11,-46.05124051417457,1202240
149,aiw.aix.aiw.aix.aiw.aix.aiw,-23.949099,-27.989340999999996,7,-23.949099400662387,1932
150,agm.nfy.agc,-21.466649,-20.444457,3,-21.466648766583383,6
151,aob.aob.aut.aut.aut.acb.ace.acb.ace.acb.ave,-38.791112,-47.392008000000004,11,-38.791112240572694,1648628
152,aut.aut.aob,-10.584641,-11.238909,3,-10.584640863676812,8
153,acs.aua.ats.aua.aua.ats,-26.649399,-26.212081,6,-26.64939884489628,450
154,bbf.bbd.bbf.bbd.bbf.bbd.bbf.bbd.bbg.bbh.bbg.bbh.bbg.bbj.bbk.bbj.bbk,-53.459747,-92.79320200000001,17,0.0,0
155,aiw.aix.aiw.aix.aiy.aiu,-21.058184,-25.166562,6,-21.058183920152967,406
156,agc.ags,-9.929292,-10.007254,2,-9.92929234615196,2
157,agc.ags.ago.agt,-20.393715,-19.861024,4,-20.39371453046115,22
158,baw.bbf.bbd.bbf.bbd.bbf.bbe.bbd,-34.444767999999996,-39.600142,8,-34.44476807761913,8818
159,bba.bbb.bbc.bba.bbb.bbc.bba.bbb.bbc,-25.073631,-30.812345,9,-25.073630710795857,41964
160,agc.agc.agc.agc,-8.635553999999999,-18.86569,4,-8.635554086522259,39
161,baw.baw.baw.bax.bay,-20.288874,-21.939757999999998,5,-20.288873546461165,128
162,aiz.aja.aiz.ban.acb.aiy.ajd.aiy.ajd,-35.276588000000004,-38.405955,9,-35.27658791809121,41980
163,aiw.aix.aiw.aix,-10.626787,-16.330278,4,-10.626787391384259,24
164,aiz.aje,-9.373880999999999,-10.128615,2,-9.373881183904933,2
