grammar lhs rhs log.prob
NoCopy T agc -4.48322851518
NoCopy T agb -7.70210434005
NoCopy T axd -6.09266642762
NoCopy T agx -6.60349205138
NoCopy T agw -6.09266642762
NoCopy T agv -7.70210434005
NoCopy T agu -5.50487976271
NoCopy T agt -5.756194191
NoCopy T ags -4.99405413895
NoCopy T agr -5.50487976271
NoCopy T agq -5.13715498259
NoCopy T agp -4.40626747405
